trial_number,selector_threshold,learning_rate,max_depth,fold1,fold2,fold3,mean_cv
0,mean,0.09460147454354628,8,0.8761214630779848,0.898515705902658,0.8919571971004487,0.8888647886936972
1,mean,0.057712122939594226,7,0.8488612836438924,0.8740075940628236,0.8702105626510183,0.8643598134525781
2,mean,0.11004321844002904,6,0.8775017253278122,0.8950638591646531,0.8891957197100449,0.8872537680675033
3,mean,0.1453075484593495,8,0.8816425120772947,0.9005868139454608,0.8967897825336555,0.8930063695188037
4,mean,0.08927251896813199,4,0.8174603174603174,0.825681739730756,0.835001725923369,0.8260479277048142
5,median,0.19600468767115226,4,0.8702553485162181,0.876423886779427,0.877114256127028,0.8745978304742245
6,median,0.194390559146668,8,0.8892339544513458,0.9016223679668622,0.8967897825336555,0.8958820349839544
7,mean,0.14665664638577774,6,0.8850931677018633,0.898515705902658,0.8995512599240594,0.8943867111761935
8,median,0.04889310057876216,4,0.7691511387163561,0.7777010700724888,0.762167759751467,0.7696733228467706
9,median,0.13927469865877376,7,0.8892339544513458,0.9040386606834656,0.8995512599240594,0.8976079583529569
10,median,0.013556308775940315,6,0.7429261559696342,0.7518122195374526,0.7273041076976182,0.7406808277349016
11,median,0.19843366032826454,7,0.8954451345755694,0.9099068001380739,0.9050742147048672,0.9034753831395035
12,median,0.15009436913121876,7,0.8916494133885439,0.9019675526406628,0.9040386606834656,0.8992185422375574
13,median,0.17017620854635046,7,0.8916494133885439,0.9061097687262686,0.8998964445978599,0.8992185422375574
14,median,0.17502001414060775,5,0.8802622498274673,0.9009319986192613,0.8988608905764585,0.893351713007729
15,median,0.16388292546402716,7,0.8850931677018633,0.9074905074214705,0.9005868139454608,0.8977234963562649
16,median,0.12365711889147805,6,0.8844030365769496,0.9019675526406628,0.8933379357956507,0.893236175004421
17,median,0.19902093091055686,5,0.8861283643892339,0.9040386606834656,0.9050742147048672,0.8984137465925223
18,median,0.17337118878362792,7,0.8892339544513458,0.9023127373144633,0.9009319986192613,0.8974928967950234
19,median,0.1551081386018172,5,0.8785369220151829,0.8916120124266482,0.8947186744908526,0.8882892029775613
20,median,0.1300631990183858,8,0.8871635610766045,0.8988608905764585,0.8998964445978599,0.8953069654169742
21,median,0.1788018131877688,7,0.8881987577639752,0.9050742147048672,0.8998964445978599,0.8977231390222341
22,median,0.18435063551604042,7,0.8906142167011732,0.9099068001380739,0.9033482913358647,0.9012897693917039
23,median,0.18614347604180848,7,0.8902691511387164,0.9105971694856748,0.8988608905764585,0.8999090704002831
24,median,0.18633788852872785,6,0.8933747412008282,0.906454953400069,0.9033482913358647,0.9010593286455872
25,median,0.16269143522089455,6,0.8923395445134575,0.9036934760096652,0.9023127373144633,0.8994485859458621
26,median,0.18702436286840027,6,0.8923395445134575,0.9078356920952709,0.9036934760096652,0.9012895708727978
27,median,0.07016987685331269,5,0.8402346445824707,0.8577839143942009,0.8508802209181913,0.8496329266316209
28,median,0.19958865737541653,6,0.8878536922015183,0.9081808767690714,0.8995512599240594,0.8985286096315498
29,mean,0.11048379809432742,8,0.883367839889579,0.8974801518812565,0.8960994131860546,0.8923158016522966
